generation,checkpoint_id,max_naa,min_naa,mean_naa,elites_mean_naa,cid_min_naa,cid_max_naa,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,amex-optimizer-test-3/1/20201218-014459,8362553.48663629,5815769.672326158,6454032.980878184,7029359.286628418,1_72,1_2,1157592.87457573,195174.25832900568,771081.1568360206,779488.9617286343,1_2,1_1
2,amex-optimizer-test-3/2/20201218-014529,8362553.48663629,6223184.104274093,6870643.2896345,7254427.952120086,2_17,1_2,1157592.87457573,195174.25832900568,791790.8762119146,839884.3281685539,1_2,1_1
3,amex-optimizer-test-3/3/20201218-014557,8362553.48663629,6494253.240489943,7067791.499818436,7404785.580799781,2_35,1_2,1157592.87457573,195174.25832900568,845951.4190633455,851713.3571147195,1_2,1_1
4,amex-optimizer-test-3/4/20201218-014627,8362553.48663629,6495497.127708625,7146414.791227754,7457810.350713137,4_51,1_2,1157592.87457573,195174.25832900568,874577.9071028378,856530.1474163976,1_2,1_1
5,amex-optimizer-test-3/5/20201218-014656,8362553.48663629,6309042.493394278,7142351.07082082,7525374.69965996,5_94,1_2,1157592.87457573,195174.25832900568,873589.1210467971,855414.6864739594,1_2,1_1
6,amex-optimizer-test-3/6/20201218-014726,8362553.48663629,6580400.932152871,7258320.275908479,7490016.086082863,6_19,1_2,1157592.87457573,195174.25832900568,855364.8605963823,868618.4907033287,1_2,1_1
7,amex-optimizer-test-3/7/20201218-014758,8362553.48663629,6640755.578594709,7230695.636505222,7496186.326409313,7_55,1_2,1157592.87457573,195174.25832900568,862737.7240889482,866445.4398115199,1_2,1_1
8,amex-optimizer-test-3/8/20201218-014828,8362553.48663629,6544207.469007873,7169526.15173972,7471296.7394001875,8_88,1_2,1157592.87457573,195174.25832900568,872027.8487589969,868643.6682962959,1_2,1_1
9,amex-optimizer-test-3/9/20201218-014859,8362553.48663629,6387324.063847291,7219977.549133764,7471296.7394001875,9_53,1_2,1157592.87457573,195174.25832900568,864311.0383544913,868643.6682962959,1_2,1_1
10,amex-optimizer-test-3/10/20201218-014929,8362553.48663629,6520308.807423663,7251643.667180759,7473229.920095334,10_16,1_2,1157592.87457573,195174.25832900568,862546.165801331,878182.6914531225,1_2,1_1
11,amex-optimizer-test-3/11/20201218-014957,8362553.48663629,6572149.055825175,7269137.3159015905,7587337.775206732,11_56,1_2,1157592.87457573,195174.25832900568,849658.9101881821,853649.7426104981,1_2,1_1
12,amex-optimizer-test-3/12/20201218-015027,8362553.48663629,6691735.6224399945,7280415.974986694,7600822.372540745,12_91,1_2,1157592.87457573,195174.25832900568,851786.4060331173,855121.4295111892,1_2,1_1
13,amex-optimizer-test-3/13/20201218-015057,8362553.48663629,6415982.811457664,7289250.313552835,7648249.982808305,13_65,1_2,1157592.87457573,195174.25832900568,859045.7166359584,833073.3507966286,1_2,1_1
14,amex-optimizer-test-3/14/20201218-015129,8362553.48663629,6372557.697029085,7277662.237501256,7678145.686325813,14_17,1_2,1157592.87457573,195174.25832900568,845663.0136137503,822009.4418470197,1_2,1_1
15,amex-optimizer-test-3/15/20201218-015157,8362553.48663629,6501801.352082985,7283314.652403803,7657097.435297218,15_89,1_2,1157592.87457573,195174.25832900568,850917.7754980811,842951.7444782618,1_2,1_1
16,amex-optimizer-test-3/16/20201218-015227,8362553.48663629,6545697.335884908,7326355.9914897,7681678.309263555,16_36,1_2,1157592.87457573,195174.25832900568,829806.3438805122,814559.1478911863,1_2,1_1
17,amex-optimizer-test-3/17/20201218-015256,8362553.48663629,6665695.839507839,7277493.209039377,7684647.051492857,17_77,1_2,1157592.87457573,195174.25832900568,854492.7253612765,817352.3813279315,1_2,1_1
18,amex-optimizer-test-3/18/20201218-015325,8362553.48663629,6507649.880796038,7305332.786945755,7665763.321935305,18_52,1_2,1157592.87457573,195174.25832900568,840714.3298223381,846770.2488026259,1_2,1_1
19,amex-optimizer-test-3/19/20201218-015354,8362553.48663629,6255287.511895334,7271473.5299823545,7686766.3189710695,19_42,1_2,1157592.87457573,195174.25832900568,868121.239835524,818892.814297007,1_2,1_1
20,amex-optimizer-test-3/20/20201218-015423,8362553.48663629,6744648.959388793,7352943.006653222,7686548.295651632,20_41,1_2,1157592.87457573,195174.25832900568,834671.6383186701,821218.8528071379,1_2,1_1
