cid,identity,NSGA-II_crowding_distance,NSGA-II_rank,is_elite,naa,score
1_1,(none),inf,1,True,9264254.738092363,1213016.9701426548
1_2,(none),inf,1,True,9904835.130666263,803394.0089587739
8_38,,0.7140839998253102,1,True,9858331.553490607,936407.5375980254
17_94,,0.5957954368442995,1,True,9851739.79436813,1061947.0813211363
15_72,,0.5734672661050125,1,True,9578039.890673613,1212813.4173896995
13_68,,0.3827443127282338,1,True,9851628.850303022,1176172.9450784512
15_45,,0.1877436531607381,1,True,9791790.97986938,1211961.7662031788
16_37,,0.25263732086000135,1,True,9679468.01524607,1212345.2501412288
18_63,,0.16932026662290164,1,True,9833839.666407788,1207281.5962525848
5_42,,0.15948077621750373,1,True,9631170.597904393,1212738.150302708
20_11,,0.6516565293585022,11,False,9630546.365672365,1150223.0006105916
20_12,,0.2567905862729608,3,False,9737401.022280661,1204069.122504681
20_13,,0.163926664603033,5,False,9647831.915329922,1191981.951394155
20_14,,inf,11,False,9503524.889787305,1176814.9730978154
20_15,,inf,12,False,9463467.156894911,1166227.836632899
20_16,,inf,9,False,9702401.148974378,1089353.5447709109
20_17,,0.26405311583128405,6,False,9716174.791792406,1137255.4175894991
20_18,,0.07706710048144229,1,False,9792088.82661663,1207457.1900264798
20_19,,1.3517108144071406,3,False,9774167.705024822,1171598.2771582978
20_20,,0.12461407715810305,9,False,9693389.312126007,1159158.3749796497
20_21,,inf,9,False,9533818.814185884,1188470.700691412
20_22,,0.39267518739231616,5,False,9600225.488691747,1204482.2177282562
20_23,,0.751938449810426,5,False,9775441.244033441,1031641.1139615742
20_24,,0.28516920951554214,4,False,9680983.422774505,1204639.2347755446
20_25,,0.4486651008866531,4,False,9640702.888181208,1205610.4488780543
20_26,,0.28001880112480426,7,False,9486904.995758193,1199230.0258488243
20_27,,1.0564323248770844,10,False,9528394.03824327,1186703.5583539188
20_28,,0.751737645327457,4,False,9762301.836135736,1134441.325887784
20_29,,inf,3,False,9678311.968580063,1208038.8903543933
20_30,,inf,2,False,9832716.56758812,990989.0115031183
20_31,,0.21718198080925472,6,False,9734138.237013392,1103258.6898305933
20_32,,inf,5,False,9803769.966884742,969002.8617234821
20_33,,0.3458191753262104,6,False,9697420.8154272,1175762.1846048152
20_34,,0.6300369066837773,8,False,9543082.98492069,1188655.1887386008
20_35,,inf,3,False,9823769.742585452,1112609.593098908
20_36,,inf,10,False,9451753.246491857,1187778.6290451558
20_37,,0.32912992868078733,6,False,9661857.132413248,1183327.9477790424
20_38,,0.8906385348399237,11,False,9530742.66919167,1157440.9926592861
20_39,,0.4367210175493894,5,False,9723169.915810306,1156142.6766817959
20_40,,0.2751805935163217,6,False,9716024.093317242,1170343.983523006
20_41,,inf,8,False,9533764.852262836,1188788.7836695965
20_42,,0.24241257563561394,5,False,9675903.46848281,1191225.3327417849
20_43,,inf,7,False,9715036.010792814,1044085.8684907571
20_44,,0.7049126692749498,6,False,9740701.280797262,1093607.7248884928
20_45,,1.4490119911369739,8,False,9551764.97041864,1168454.686665595
20_46,,0.7045614067296369,5,False,9760336.606208954,1111766.6364630084
20_47,,inf,12,False,9647818.309984395,1108402.3154450501
20_48,,0.13413953468941175,5,False,9631737.167064913,1194568.0018422166
20_49,,0.44782727472672335,3,False,9732416.079108221,1206174.0973418579
20_50,,0.3959714261872911,4,False,9787127.15510764,1066615.9302371864
20_51,,0.40362582759859883,4,False,9700789.610375486,1201403.0548078362
20_52,,0.16485278749566173,5,False,9718653.898342708,1181506.7180429262
20_53,,inf,13,False,9500394.16432604,1147322.0567199131
20_54,,inf,6,False,9573771.172865607,1201047.6389756894
20_55,,1.0454563763994882,8,False,9691446.211782698,1166051.6163344549
20_56,,0.5008493708304185,11,False,9667386.110879922,1059057.719420704
20_57,,inf,13,False,9644285.792821346,1049412.2013309672
20_58,,0.3101893996335236,7,False,9693371.84713637,1166152.4800823524
20_59,,inf,11,False,9687152.219311947,1043122.0712576223
20_60,,0.867491981147882,7,False,9709969.890799165,1161074.0575539297
20_61,,0.14884724965547766,5,False,9616715.890188435,1198740.3378981675
20_62,,inf,6,False,9762851.511775536,982253.4297229236
20_63,,0.3245067169167345,8,False,9703196.803673157,1153940.2588878542
20_64,,1.2260372462416447,12,False,9592403.54430208,1149383.2128548503
20_65,,0.44427897102299285,11,False,9638774.42850735,1148973.4420389167
20_66,,inf,2,False,9664714.950563628,1210896.1470429103
20_67,,inf,14,False,9461172.308917819,1145674.4550152887
20_68,,2.0,14,False,9476409.784755541,1129260.4449319378
20_69,,1.154686413424868,13,False,9553302.637106817,1145441.195085635
20_70,,inf,8,False,9705210.67406823,1150060.6213622573
20_71,,0.33967695612850546,7,False,9570890.53219181,1193291.9512075626
20_72,,inf,4,False,9810880.991674358,1034646.530986499
20_73,,inf,7,False,9458172.067866446,1199951.870896697
20_74,,0.5018000784470558,4,False,9781647.74043212,1080965.8038356963
20_75,,0.43824405647151526,11,False,9660911.988931175,1090977.4450894992
20_76,,0.554357123154116,11,False,9658886.627888853,1111459.6504554648
20_77,,inf,5,False,9508874.388976801,1205110.8454849673
20_78,,0.7577224622105534,9,False,9694333.774505144,1156961.0435413665
20_79,,0.9281636555079481,2,False,9778619.239303809,1208267.3641722556
20_80,,0.9435676751229157,10,False,9689577.91733932,1145512.3963593082
20_81,,0.6559707882879536,4,False,9755223.137115704,1190613.7657365834
20_82,,0.36506237254026325,7,False,9528620.801078627,1199055.0148783703
20_83,,inf,14,False,9637035.344982136,1030274.9406595029
20_84,,1.1454348734688047,9,False,9640980.122451015,1165867.6002450606
20_85,,0.5128122615988083,7,False,9658500.39188811,1178190.1545944975
20_86,,inf,10,False,9691845.939028181,998037.7257488492
20_87,,0.25038650984372407,6,False,9717994.864525776,1114851.1676543853
20_88,,0.45553481143483265,12,False,9602633.447452553,1138983.9559464671
20_89,,0.43796457522486404,7,False,9587260.216996577,1181693.5427740607
20_90,,0.18612976304772422,5,False,9708683.082547583,1183466.8607970271
20_91,,0.8884318420616623,10,False,9669436.773612488,1159361.5514799105
20_92,,1.3100507481206156,2,False,9829328.18131156,1192209.5242976027
20_93,,0.3785717077192693,9,False,9681628.194629405,1161842.2531593556
20_94,,0.3812656210398569,8,False,9696506.20049935,1160661.903144581
20_95,,inf,4,False,9580419.382261552,1206757.2140238064
20_96,,0.5930260948389876,3,False,9763015.342217796,1201743.761515026
20_97,,0.5468531860084777,6,False,9642150.809585184,1183818.2505000667
20_98,,1.6130931930475039,13,False,9611412.940782677,1109808.6750636722
20_99,,0.7739627537583554,12,False,9617497.72216598,1130912.9786663107
20_100,,0.6899492518793845,2,False,9687274.097364502,1210376.4421263388
